Time,PGN,DA,SA,Prioirty,Data
1547754975.309009,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.30956,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.315284,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.316503,61184,0,6,1,64 15 19 F0 0B 19 93 0E 
1547754975.318912,61444,255,0,3,F0 FF 9C 1E 1C FF FF FF 
1547754975.328788,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.329401,61184,255,0,3,64 06 2D 7D FF FF FF FF 
1547754975.33,65266,255,0,6,21 00 FF FF FF FF FF FF 
1547754975.334899,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547754975.335494,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.336668,61184,0,6,1,64 15 1A F0 04 19 93 0E 
1547754975.337245,65531,255,6,6,00 05 86 F8 FF FF FF FF 
1547754975.338842,61444,255,0,3,F0 FF 9C 24 1C FF FF FF 
1547754975.348938,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
1547754975.34949,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.350064,61184,6,0,6,64 0E EF 00 FF FF FF FF 
1547754975.355288,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.356483,61184,0,6,1,64 15 1B F0 0B 19 93 0E 
1547754975.358886,61444,255,0,3,F0 FF 9C 2E 1C FF FF FF 
1547754975.368805,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
1547754975.369378,61184,255,0,3,64 06 2A 7D FF FF FF FF 
1547754975.369954,61184,255,0,6,64 10 01 01 CE 02 05 7D 
1547754975.370526,65270,255,0,6,FF 00 38 FF 00 FF FF FF 
1547754975.37528,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.376474,61184,0,6,1,64 15 1C F0 11 19 93 0E 
1547754975.377023,65097,255,71,3,FF FF FF FF FF FF FF FF 
1547754975.377624,65091,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.37825,65092,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.378777,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547754975.379327,61444,255,0,3,F0 FF 9B 2A 1C FF FF FF 
1547754975.388818,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
1547754975.389394,61184,255,0,3,64 06 2A 7D FF FF FF FF 
1547754975.395267,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.396463,61184,0,6,1,64 15 1D F0 11 19 93 0E 
1547754975.398945,61444,255,0,3,F0 FF 9B 26 1C FF FF FF 
1547754975.408784,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
1547754975.409359,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.415258,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.416453,61184,0,6,1,64 15 1E F0 0B 19 93 0E 
1547754975.417029,65265,255,71,6,FF 00 00 FF FF FF FF FF 
1547754975.417583,61445,255,3,6,80 FF FF FF FF FF FF FF 
1547754975.418802,61444,255,0,3,F0 FF 9C 26 1C FF FF FF 
1547754975.419402,65530,255,0,6,02 2C 00 00 18 0C 00 81 
1547754975.428848,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
1547754975.429399,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.429972,65266,255,0,6,20 00 FF FF FF FF FF FF 
1547754975.434849,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547754975.435445,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.436593,61184,0,6,1,64 15 1F F0 0B 19 93 0E 
1547754975.438968,61444,255,0,3,F0 FF 9C 24 1C FF FF FF 
1547754975.448787,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.449365,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.449936,61184,6,0,6,64 0E F9 00 FF FF FF FF 
1547754975.45051,65269,255,0,6,C8 FF FF FF FF 38 FF FF 
1547754975.455238,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.456433,61184,0,6,1,64 15 10 F0 0B 19 93 0E 
1547754975.457008,65097,255,71,3,FF FF FF FF FF FF FF FF 
1547754975.457609,65091,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.458202,65092,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.458787,61444,255,0,3,F0 FF 9C 1E 1C FF FF FF 
1547754975.468777,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.469329,61184,255,0,3,64 06 2D 7D FF FF FF FF 
1547754975.469903,61184,255,0,6,64 10 01 01 CC 02 05 7D 
1547754975.475232,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.476476,61184,0,6,1,64 15 11 F0 04 19 93 0E 
1547754975.478849,61444,255,0,3,F0 FF 9C 26 1C FF FF FF 
1547754975.484572,65535,255,23,7,22 FF FF 3C FF FF FF FF 
1547754975.488846,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
