Time , PGN , DA , SA , Prioirty , Data
1547753780.015854 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753780.016429 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547753780.017156 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.017728 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753780.018306 , 65266 , 255 , 0 , 6 , 23 00 FF FF FF FF FF FF 
1547753780.027159 , 61444 , 255 , 0 , 3 , F0 FF 9D 1E 1C FF FF FF 
1547753780.032207 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.033498 , 61184 , 0 , 6 , 1 , 64 15 16 F0 04 19 93 0E 
1547753780.037177 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753780.037748 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753780.038325 , 61184 , 6 , 0 , 6 , 64 0E D5 00 FF FF FF FF 
1547753780.047251 , 61444 , 255 , 0 , 3 , F0 FF 9D 20 1C FF FF FF 
1547753780.052253 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.05345 , 61184 , 0 , 6 , 1 , 64 15 17 F0 0B 19 93 0E 
1547753780.054025 , 65265 , 255 , 71 , 6 , FF 00 00 FF FF FF FF FF 
1547753780.054625 , 61445 , 255 , 3 , 6 , 7D FF FF FF FF FF FF FF 
1547753780.057075 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.057651 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.058229 , 61184 , 255 , 0 , 6 , 64 10 01 01 CA 02 05 7D 
1547753780.067154 , 61444 , 255 , 0 , 3 , F0 FF 9D 24 1C FF FF FF 
1547753780.072253 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.07345 , 61184 , 0 , 6 , 1 , 64 15 18 F0 0B 19 93 0E 
1547753780.077103 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.077677 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.087205 , 61444 , 255 , 0 , 3 , F0 FF 9D 1E 1C FF FF FF 
1547753780.091829 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547753780.092428 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.093626 , 61184 , 0 , 6 , 1 , 64 15 19 F0 04 19 93 0E 
1547753780.094203 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547753780.097153 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753780.097725 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753780.09828 , 64947 , 255 , 0 , 6 , FF FF 80 28 FF FF FF FF 
1547753780.098875 , 61184 , 255 , 0 , 7 , 64 07 00 00 FF FF FF FF 
1547753780.107106 , 61444 , 255 , 0 , 3 , F0 FF 9D 16 1C FF FF FF 
1547753780.112282 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.113453 , 0 , 0 , 6 , 3 , 30 FF FF FF F8 FF FF FF 
1547753780.114002 , 61184 , 0 , 6 , 1 , 64 15 1A F0 09 19 93 0E 
1547753780.117177 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753780.117755 , 61184 , 255 , 0 , 3 , 64 06 30 7D FF FF FF FF 
1547753780.118331 , 65266 , 255 , 0 , 6 , 23 00 FF FF FF FF FF FF 
1547753780.127155 , 61444 , 255 , 0 , 3 , F0 FF 9D 1E 1C FF FF FF 
1547753780.132253 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.133504 , 61184 , 0 , 6 , 1 , 64 15 1B F0 04 19 93 0E 
1547753780.134079 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547753780.134678 , 65091 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753780.135256 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753780.137253 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.137827 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753780.138409 , 61184 , 6 , 0 , 6 , 64 0E DF 00 FF FF FF FF 
1547753780.147165 , 61444 , 255 , 0 , 3 , F0 FF 9D 26 1C FF FF FF 
1547753780.152262 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.153461 , 61184 , 0 , 6 , 1 , 64 15 1C F0 0B 19 93 0E 
1547753780.157087 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.157687 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.158239 , 61184 , 255 , 0 , 6 , 64 10 01 01 CB 02 05 7D 
1547753780.158812 , 65247 , 255 , 0 , 6 , 8A 20 1C FF FF FF FF FF 
1547753780.167162 , 61444 , 255 , 0 , 3 , F0 FF 9D 20 1C FF FF FF 
1547753780.172264 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.17346 , 61184 , 0 , 6 , 1 , 64 15 1D F0 0B 19 93 0E 
1547753780.174012 , 65265 , 255 , 71 , 6 , FF 00 00 FF FF FF FF FF 
1547753780.174635 , 61445 , 255 , 3 , 6 , 7D FF FF FF FF FF FF FF 
1547753780.177312 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753780.177889 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.17846 , 65263 , 255 , 0 , 6 , FF FF FF 65 FF FF FF FA 
1547753780.187066 , 61444 , 255 , 0 , 3 , F0 FF 9D 22 1C FF FF FF 
1547753780.191814 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547753780.192488 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.193687 , 61184 , 0 , 6 , 1 , 64 15 1E F0 0B 19 93 0E 
1547753780.19709 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.197632 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.207134 , 61444 , 255 , 0 , 3 , F0 FF 9D 26 1C FF FF FF 
1547753780.212236 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.213463 , 61184 , 0 , 6 , 1 , 64 15 1F F0 0B 19 93 0E 
1547753780.214011 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547753780.214638 , 65535 , 255 , 71 , 3 , 5D FF FF F3 FF FF FF FF 
1547753780.215237 , 65091 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753780.215837 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753780.216412 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547753780.217239 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.217811 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.218352 , 65266 , 255 , 0 , 6 , 21 00 FF FF FF FF FF FF 
1547753780.225453 , 65535 , 255 , 23 , 7 , 22 FF FF 3C FF FF FF FF 
1547753780.227254 , 61444 , 255 , 0 , 3 , F0 FF 9D 1C 1C FF FF FF 
1547753780.232292 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.233514 , 61184 , 0 , 6 , 1 , 64 15 10 F0 04 19 93 0E 
1547753780.237114 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753780.237689 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753780.238291 , 61184 , 6 , 0 , 6 , 64 0E E9 00 FF FF FF FF 
1547753780.247167 , 61444 , 255 , 0 , 3 , F0 FF 9D 1A 1C FF FF FF 
1547753780.252291 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.253515 , 61184 , 0 , 6 , 1 , 64 15 11 F0 04 19 93 0E 
1547753780.254092 , 65265 , 255 , 71 , 6 , FF 00 00 FF FF FF FF FF 
1547753780.25469 , 61445 , 255 , 3 , 6 , 7D FF FF FF FF FF FF FF 
1547753780.257091 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753780.257639 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753780.258219 , 61184 , 255 , 0 , 6 , 64 10 01 01 CA 02 05 7D 
1547753780.258788 , 65270 , 255 , 0 , 6 , FF 00 3A FF 00 FF FF FF 
1547753780.267393 , 61444 , 255 , 0 , 3 , F0 FF 9D 24 1C FF FF FF 
1547753780.272267 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.273463 , 61184 , 0 , 6 , 1 , 64 15 12 F0 0B 19 93 0E 
1547753780.277118 , 61184 , 250 , 0 , 6 , 64 01 FF 00 00 FF FF FF 
1547753780.277666 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.27824 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.287164 , 61444 , 255 , 0 , 3 , F0 FF 9D 28 1C FF FF FF 
1547753780.29182 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547753780.292417 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.29359 , 61184 , 0 , 6 , 1 , 64 15 13 F0 11 19 93 0E 
1547753780.294121 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547753780.294739 , 65535 , 255 , 6 , 6 , 73 FF FF FF FF FF FF FF 
1547753780.297118 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.297691 , 61184 , 255 , 0 , 3 , 64 06 2C 7D FF FF FF FF 
1547753780.307193 , 61444 , 255 , 0 , 3 , F0 FF 9C 24 1C FF FF FF 
1547753780.312293 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.313493 , 61184 , 0 , 6 , 1 , 64 15 14 F0 0B 19 93 0E 
1547753780.317218 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.317792 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.318368 , 65266 , 255 , 0 , 6 , 21 00 FF FF FF FF FF FF 
1547753780.327168 , 61444 , 255 , 0 , 3 , F0 FF 9D 26 1C FF FF FF 
1547753780.332274 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.333467 , 61184 , 0 , 6 , 1 , 64 15 15 F0 0B 19 93 0E 
1547753780.334044 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
